23:29:49.672 -> 3, 0.88, 0.97, -2.09, -20.19, 0.96, -8.58, 1.35, -0.08, -0.87, -8.41, -6.12, -5.89, -1.20, 0.01, 1.15, -46.67, 3.47, 100.65, 2
23:29:49.672 -> 4, 1.63, 0.67, -2.69, -5.05, -18.08, -10.04, 1.50, -0.98, -0.72, 3.31, -12.47, -20.05, -0.90, 0.46, 1.00, -54.00, -17.04, 39.13, 2
23:29:49.672 -> 5, 3.43, 1.72, -1.64, -14.33, 2.43, -24.69, 0.90, -1.88, -4.77, -2.06, -1.73, -1.01, 0.45, 1.36, 2.65, -70.60, -5.81, 19.11, 2
23:29:49.672 -> 6, 5.08, 2.92, -0.59, 19.36, -12.71, 40.25, -2.55, 0.52, -7.62, -81.16, -50.07, -2.96, -1.20, 2.86, 1.60, -20.80, -3.36, 65.01, 2
23:29:49.672 -> 7, 4.33, 3.67, -0.14, -23.61, 13.66, -31.04, -4.35, 1.42, -7.77, -9.87, -7.59, -40.56, 0.60, 1.21, 1.75, -42.77, 0.54, 42.06, 2
23:29:49.719 -> 8, 2.98, 1.72, 1.06, 35.96, -15.15, -46.67, -5.40, 0.82, -7.92, -75.30, -15.89, 1.92, 1.05, 1.21, 1.75, 42.19, -16.55, 33.76, 2
23:29:49.719 -> 9, 3.28, 1.12, 1.66, -35.82, -6.36, -29.58, -4.20, -0.68, -5.22, -47.47, -30.54, 75.65, -0.00, 1.36, 1.15, 82.23, 13.24, -22.39, 2
23:29:49.719 -> 10, 4.63, 1.27, 1.06, -18.73, 8.77, -13.46, -1.95, -1.13, -3.12, -4.50, -9.54, -1.49, 1.20, 1.81, 0.85, 10.94, -3.36, -63.90, 2
23:29:49.719 -> 11, 1.63, 0.67, 0.01, -15.80, -2.94, -21.27, 1.05, -2.18, -2.97, 24.31, -20.77, -29.33, 1.05, 1.21, 1.00, 41.22, 3.96, -33.13, 2
23:29:49.766 -> 12, 1.78, 0.07, -0.89, -0.17, -4.90, -10.04, 1.05, -0.98, -2.67, -29.40, -2.71, 6.32, 2.40, 0.31, 1.15, 6.06, -4.83, -62.92, 2
23:29:49.766 -> 13, 2.23, 0.52, 0.31, -10.91, 3.89, -16.39, -0.15, -0.23, -0.27, -4.99, -3.19, -8.82, 0.15, 0.16, 1.00, -6.64, -0.43, -67.80, 2
23:29:49.766 -> 14, 1.93, 1.42, -0.29, -15.31, -11.73, -3.21, 0.15, -0.08, -0.87, -3.04, -11.49, -9.79, -0.00, 0.76, 0.40, 29.01, 12.26, -23.37, 2
23:29:49.766 -> 15, 0.73, 1.42, 1.21, -5.05, 8.77, -1.74, 0.30, -0.68, -0.72, -14.27, -5.63, -21.03, -0.00, 0.76, 1.90, 8.01, 6.89, -14.09, 2
23:29:49.813 -> 16, -0.32, 1.27, -0.59, -21.66, -7.83, -14.93, 1.05, -0.68, -1.02, -13.78, -4.66, -2.96, 1.05, -0.89, 1.30, -7.12, -7.27, -18.49, 2
